max-process;rank;max-size-sequence;max-size-constraint;max-number-constraint;max-fragmentation;total-time;calcul-time;com-time;idleness-time;calcul-rate;com-rate;idleness-rate;nb-message-exchange;size-data-com;size-data-com-in-mb;ssclcs;
9;0;0;0;0;0;0.455455;0.110978;0.317882;0.026595;24.366380;69.794306;5.839314;0;0;0.000000;0;
9;0;0;0;0;0;0.451645;0.104270;0.321068;0.026307;23.086727;71.088603;5.824670;0;0;0.000000;0;
9;0;0;0;0;0;0.453897;0.102123;0.324895;0.026879;22.499158;71.579080;5.921761;0;0;0.000000;0;
9;0;0;0;0;0;0.472518;0.119215;0.327133;0.026170;25.229664;69.231911;5.538426;0;0;0.000000;0;
4;2;512;32;8;0;0.477476;0.106613;0.329249;0.041614;22.328482;68.956113;8.715404;0;0;0.000000;0;
4;2;512;32;8;0;0.455006;0.103006;0.325526;0.026474;22.638346;71.543239;5.818415;0;0;0.000000;0;
4;2;512;32;8;0;0.461035;0.102030;0.332577;0.026427;22.130741;72.137085;5.732174;0;0;0.000000;0;
4;2;512;32;8;0;0.452392;0.106122;0.320016;0.026254;23.457894;70.738686;5.803420;0;0;0.000000;0;
4;2;512;32;8;0;0.441838;0.102218;0.313706;0.025914;23.134730;71.000269;5.865001;0;0;0.000000;0;
4;2;512;32;8;0;0.436996;0.104790;0.307492;0.024714;23.979644;70.364989;5.655367;0;0;0.000000;0;
4;2;512;32;8;0;0.441575;0.103721;0.313212;0.024642;23.488914;70.930658;5.580428;0;0;0.000000;0;
4;2;512;32;8;0;0.444945;0.104159;0.315699;0.025087;23.409404;70.952376;5.638220;0;0;0.000000;0;
4;2;512;32;8;0;0.438255;0.105296;0.307266;0.025693;24.026260;70.111188;5.862551;0;0;0.000000;0;
4;2;512;32;8;0;0.648906;0.122413;0.501272;0.025221;18.864508;77.248852;3.886640;0;0;0.000000;0;
4;2;512;32;8;0;0.438953;0.104575;0.309365;0.025013;23.823721;70.477902;5.698377;0;0;0.000000;0;
4;2;512;32;8;0;0.449021;0.110426;0.306288;0.032306;24.592661;68.212482;7.194857;0;0;0.000000;0;
4;2;512;32;8;0;0.441891;0.106500;0.310316;0.025074;24.101096;70.224687;5.674217;0;0;0.000000;0;
4;2;512;32;8;0;0.441477;0.103199;0.313063;0.025216;23.375782;70.912585;5.711633;0;0;0.000000;0;
4;2;512;32;8;0;0.437422;0.105847;0.306534;0.025041;24.197914;70.077391;5.724695;0;0;0.000000;0;
4;2;512;32;8;0;0.434974;0.104684;0.305344;0.024947;24.066624;70.198095;5.735280;0;0;0.000000;0;
